,Group,Data,Rand_Var,Group_Coded
303,Apical,0.033017542944383034,4.0,0
304,Apical,0.03783989392719937,4.0,0
305,Apical,0.02640303973873435,4.0,0
306,Apical,0.0415152046155078,4.0,0
307,Apical,0.15059169366264685,4.0,0
309,Apical,0.0298009231633194,4.0,0
310,Apical,0.05815602749751502,4.0,0
311,Apical,0.031645522719928425,4.0,0
312,Apical,0.046248932063763584,4.0,0
313,Apical,0.03753229160776539,4.0,0
314,Apical,0.062004388553041405,4.0,0
315,Apical,0.03756225971793824,4.0,0
317,Apical,0.054808903039578305,4.0,0
318,Apical,0.035003218047434566,4.0,0
319,Apical,0.08368982787678125,4.0,0
320,Apical,0.05491307546869136,4.0,0
321,Apical,0.04259018628806977,4.0,0
322,Apical,0.062319540025879305,4.0,0
323,Apical,0.023913524059441228,4.0,0
324,Apical,0.043193339736775124,4.0,0
325,Apical,0.04779158163689838,4.0,0
326,Apical,0.11234231541154645,4.0,0
327,Apical,0.047924772736133256,4.0,0
328,Apical,0.028117202501592435,4.0,0
329,Apical,0.040873355974512075,4.0,0
330,Apical,0.2668739870060052,5.0,0
331,Apical,0.032771976662413244,5.0,0
332,Apical,0.1108726117820128,5.0,0
333,Apical,0.12941492176654826,5.0,0
334,Apical,0.1308969681019578,5.0,0
335,Apical,0.07465447743452945,5.0,0
336,Apical,0.5052259908998247,5.0,0
337,Apical,0.07796056318284687,5.0,0
338,Apical,0.03850970082224204,5.0,0
339,Apical,0.07106671657734823,5.0,0
340,Apical,0.11319791237805413,5.0,0
342,Apical,0.06254294313901529,5.0,0
346,Apical,0.030488867306176854,5.0,0
347,Apical,0.13651289184659807,5.0,0
348,Apical,0.04422986718762398,5.0,0
349,Apical,0.09186760776057443,5.0,0
350,Apical,0.020876939363630123,5.0,0
351,Apical,0.10061507406758277,5.0,0
352,Apical,0.06441348995933857,5.0,0
353,Apical,0.056912008586175185,5.0,0
354,Apical,0.06318965323437195,5.0,0
356,Apical,0.3720589056895309,5.0,0
357,Apical,0.03650063661513583,5.0,0
358,Apical,0.12073031417113593,5.0,0
359,Apical,0.05576037839322277,6.0,0
360,Apical,0.06871342266689927,6.0,0
362,Apical,0.22543641572981743,6.0,0
365,Apical,0.05946339973469458,6.0,0
366,Apical,0.038293399305737115,6.0,0
367,Apical,0.0645403475211237,6.0,0
368,Apical,0.029082649402989484,6.0,0
369,Apical,0.05622982141712871,6.0,0
370,Apical,0.07379915223907203,6.0,0
372,Apical,0.03997692386719177,6.0,0
373,Apical,0.06250288744215843,6.0,0
374,Apical,0.030226358575898206,6.0,0
375,Apical,0.07934523176858094,6.0,0
376,Apical,0.05553853564263058,6.0,0
377,Apical,0.06219072302058731,6.0,0
378,Apical,0.03282786316053986,6.0,0
379,Apical,0.053180001506958535,6.0,0
380,Apical,0.16871711628738245,6.0,0
381,Apical,0.04485583393643562,6.0,0
382,Apical,0.03779343078044814,6.0,0
386,Apical,0.10144329133230025,6.0,0
387,Apical,0.12278578140590546,6.0,0
388,Apical,0.050246696330017285,6.0,0
389,Apical,0.0264969827224727,6.0,0
390,Apical,0.05291765816042687,6.0,0
391,Apical,0.08491936947084501,6.0,0
392,Apical,0.050309167786717596,6.0,0
393,Apical,0.024154173593623485,6.0,0
394,Apical,0.04730764365706584,6.0,0
395,Apical,0.06948329063987367,6.0,0
396,Apical,0.02160408782791754,6.0,0
397,Apical,0.02429618037651958,6.0,0
399,Apical,0.07728798856277305,6.0,0
400,Apical,0.02679753969570559,6.0,0
401,Apical,0.022091048984654298,7.0,0
402,Apical,0.03642818221681126,7.0,0
403,Apical,0.028776116922241874,7.0,0
404,Apical,0.02955268042777756,7.0,0
